TCM_symptom_id,TCM_symptom_name,first_source,first_status,second_source,second_status,reason
364,关节屈伸不利,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
369,关节疼痈,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
367,关节酸痛麻木,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
373,关节肿胀疼痛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
377,寒湿痹痛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
374,寒热头痛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
379,寒性腹泻,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
381,汗出不畅,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
380,汗出,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
382,汗出不解,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
383,汗少,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
384,行步艰难,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
385,行经腹痛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
386,行经小腹冷痛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
387,行走无力,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
390,烘热,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
394,喉核红肿,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
395,喉核肿大,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
396,喉间痰鸣,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
397,喉痛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
399,喉中作响,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
401,呼吸道出血,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
402,呼吸气促,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
406,黄痰,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
407,会阴少腹腰骶部疼痛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
410,昏仆,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
413,活动障碍,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
414,肌肤红,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
415,肌肤下肿块数处,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
416,肌肤下肿块一处,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
417,肌肤肿块数处,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
418,肌肤肿块一处 推之能动,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
421,肌肉剧痛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
419,肌肉关节酸痛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
420,肌肉红肿热痛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
424,肌肉酸麻,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
422,肌肉麻木,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
437,急躁易怒,duguji,no_definition,dayi,not_found,duguji: raw page parsed but no definition found; dayi: no exact symptom result in search page
428,肌痩,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
429,肌痿无力,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
430,积聚痞块,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
433,积滞内停,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
434,积滞胀满,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
432,积滞不消,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
436,急性起并半身不遂,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
441,肩背酸痛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
443,肩部疼痛重着,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
442,肩臂疼痛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
444,肩颈疼痛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
445,肩疼痛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
448,舰血,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
453,脚气浮肿,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
450,僵硬畸形,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
458,疥癣瘙痒,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
454,脚重,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
459,津伤,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
461,筋骨疼痛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
462,筋骨痿软,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
463,筋骨无力,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
464,筋骨瘀痛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
471,经初行不畅,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
