TCM_symptom_id,TCM_symptom_name,status,updated,message
520,胫膝酸软,ok,yes,
523,久病体弱,ok,yes,
525,久咳不止,ok,yes,
536,局部恶寒,ok,yes,
537,局部红肿,ok,yes,
538,局部畏恶风寒,ok,yes,
527,久痢不止,ok,yes,
528,久疟体虚,ok,yes,
532,久泻不止,ok,yes,
533,久泻久痢,ok,yes,
530,久嗽不止,ok,yes,
535,拘挛麻木,ok,yes,
539,局部畏风寒,ok,yes,
540,局部畏寒,ok,yes,
534,久泻脱肛,ok,yes,
541,局部肿痛,ok,yes,
546,咳喘痛甚,ok,yes,
548,咳甚而喘,ok,yes,
551,咳嗽日久,ok,yes,
547,咳呛阵作,ok,yes,
554,咳嗽有痰,ok,yes,
550,咳嗽频作,ok,yes,
553,咳嗽痰盛,ok,yes,
557,咳痰不已,ok,yes,
555,咳嗽阵作,ok,yes,
559,咳痰色白,ok,yes,
543,倦怠乏力,ok,yes,
556,咳痰不爽,ok,yes,
563,渴不思饮,ok,yes,
570,口唇紫绀,ok,yes,
568,口疮肿痛,ok,yes,
560,咳吐不爽,ok,yes,
558,咳痰带血,ok,yes,
574,口角流诞,ok,yes,
571,口淡乏味,ok,yes,
581,口糜烂,ok,yes,
586,口舌干燥,ok,yes,
584,口腔溃疡久不收敛,ok,yes,
582,口黏,ok,yes,
588,口舌歪斜,ok,yes,
572,口多唾涎,ok,yes,
589,口舌肿痛,ok,yes,
591,口吐涎沫,ok,yes,
594,口喁,ok,yes,
592,口喎,ok,yes,
593,口眼涡斜,ok,yes,
590,口生疮,ok,yes,
596,口中甜腻,ok,yes,
595,口燥,ok,yes,
605,老年轻度认知障碍,ok,yes,
599,剌痛,ok,yes,
610,冷汗自出,ok,yes,
606,老年腰膝酸软,ok,yes,
600,懒言,ok,yes,
598,溃疡不敛,ok,yes,
603,劳嗽咯血,ok,yes,
621,两胁胀痛,ok,yes,
618,两腮肿,ok,yes,
617,两腮痛,ok,yes,
619,两腮肿痛,ok,yes,
620,两胁疼痛,ok,yes,
623,淋沥疼痛,ok,yes,
629,流产后出血,ok,yes,
628,鳞屑多,ok,yes,
616,臁疮糜烂,ok,yes,
630,流产后宫缩不良,ok,yes,
636,流脓涕,ok,yes,
632,流黄涕,ok,yes,
631,流黄稠涕,ok,yes,
633,流黄浊涕,ok,yes,
639,流涕黏白,ok,yes,
625,淋证涩痛,ok,yes,
643,瘰疬未溃,ok,yes,
641,流浊涕,ok,yes,
645,屡经流产,ok,yes,
653,脉细弱,ok,yes,
654,脉细涩,ok,yes,
656,脉细弦,ok,yes,
648,麻木拘挛,ok,yes,
646,麻痹瘙痒,ok,yes,
660,毛发成片脱落,ok,yes,
649,麻木瘫痪,ok,yes,
661,毛发呈稀疏状脱落,ok,yes,
662,毛发干燥,ok,yes,
663,毛发松动,ok,yes,
667,眠差,ok,yes,
650,麻疹不透,ok,yes,
673,面目虚涪,ok,yes,
674,面色不华,ok,yes,
678,面色晄白,ok,yes,
677,面色恍白,ok,yes,
672,面目悉黄,ok,yes,
680,面色少华,ok,yes,
682,面色无华,ok,yes,
669,面浮肿,ok,yes,
684,面肢浮肿,ok,yes,
664,毛发油腻,ok,yes,
679,面色黢黑,ok,yes,
693,目发黄,ok,yes,
687,目暗羞明,ok,yes,
686,目暗昏花,ok,yes,
689,目赤红肿,ok,yes,
690,目赤昏花,ok,yes,
691,目赤翳障,ok,yes,
697,目昏不明,ok,yes,
703,目淫羞明,ok,yes,
699,目生翳膜,ok,yes,
694,目花,ok,yes,
700,目生云翳,ok,yes,
712,脑部疼痛,ok,yes,
710,纳少嘈杂,ok,yes,
713,脑功能减退,ok,yes,
714,脑络瘀阻,ok,yes,
716,内障目暗,ok,yes,
705,目珠夜痛,ok,yes,
718,年老气喘,ok,yes,
719,年老哮喘,ok,yes,
704,目胀,ok,yes,
724,尿点滴而下,ok,yes,
723,尿道灼热,ok,yes,
726,尿后余沥不尽,ok,yes,
722,尿道涩痛,ok,yes,
728,尿黄如茶,ok,yes,
733,尿频数,ok,yes,
715,内外伤出血,ok,yes,
729,尿混浊,ok,yes,
735,尿色赤黄,ok,yes,
736,尿色偏黄,ok,yes,
741,尿线细,ok,yes,
743,尿血血色鲜红,ok,yes,
744,尿血血色紫红,ok,yes,
739,尿少,ok,yes,
734,尿热,ok,yes,
738,尿涩痛,ok,yes,
756,呕吐清水,ok,yes,
757,呕吐乳食,ok,yes,
760,排便乏力,ok,yes,
761,排尿滴沥不尽,ok,yes,
746,脓成不溃,ok,yes,
