Herb_ID,Herb_cn_name,detail_url,filled_fields,filled_values
HERB000593,草菇,https://www.dayi.org.cn/cmedical/1115792.html,Properties|Meridians,"{""Properties"": ""味甘，性寒，"", ""Meridians"": ""归脾、胃经""}"
HERB000594,草果,https://www.dayi.org.cn/cmedical/300163.html,UsePart,"{""UsePart"": ""成熟果实""}"
HERB000595,草胡椒,https://www.dayi.org.cn/cmedical/1115761.html,Properties|Meridians,"{""Properties"": ""味辛，性凉"", ""Meridians"": ""归肝、肺经""}"
HERB000604,草乌,https://www.dayi.org.cn/cmedical/300165.html,UsePart,"{""UsePart"": ""块根""}"
HERB000613,海风藤,https://www.dayi.org.cn/cmedical/301169.html,Herb_latin_name|Therapeutic_cn_class|UsePart|Function|Indication|Properties|Meridians,"{""Herb_latin_name"": ""Piperis Kadsurae Caulis"", ""Therapeutic_cn_class"": ""祛风寒湿药"", ""UsePart"": ""藤茎"", ""Function"": ""风寒湿痹、肢节疼痛、筋脉拘挛、屈伸不利。"", ""Indication"": ""主治风寒湿痹、肢节疼痛、筋脉拘挛、屈伸不利、跌打损伤、局部肿痛。"", ""Properties"": ""味辛、苦，性微温"", ""Meridians"": ""归肝经""}"
HERB000619,茶花,https://www.dayi.org.cn/cmedical/1115980.html,Properties|Meridians,"{""Properties"": ""味微苦，性凉"", ""Meridians"": ""归肺、肝经""}"
HERB000629,茶条槭,https://www.dayi.org.cn/cmedical/1116694.html,Properties|Meridians,"{""Properties"": ""味苦，性寒"", ""Meridians"": ""归肝经""}"
HERB000628,茶树根,https://www.dayi.org.cn/cmedical/1113911.html,Properties|Meridians,"{""Properties"": ""味苦，性凉"", ""Meridians"": ""归心、肝、肺经""}"
HERB000633,茶油,https://www.dayi.org.cn/cmedical/1113908.html,Function|Indication|Properties|Meridians,"{""Function"": ""具有清热解毒、润肠、杀虫的功效。"", ""Indication"": ""主治痧气腹痛、便秘、蛔虫腹痛、蛔虫性肠梗阻、疥癣、汤火伤。"", ""Properties"": ""味甘、苦，性凉，"", ""Meridians"": ""归大肠经""}"
HERB000632,茶叶,https://www.dayi.org.cn/cmedical/1113915.html,Toxicity,"{""Toxicity"": ""无毒""}"
HERB000636,茶子心,https://www.dayi.org.cn/cmedical/1113919.html,Herb_latin_name|Toxicity|UsePart|Function|Indication|Properties|Meridians,"{""Herb_latin_name"": ""Camellia oleifera Abel"", ""Toxicity"": ""有微毒"", ""UsePart"": ""成熟种子"", ""Function"": ""行气导滞，清热杀虫。"", ""Indication"": ""气滞腹痛，泄泻；皮肤瘙痒、烫火伤。"", ""Properties"": ""味苦，性平"", ""Meridians"": ""归脾、肾经""}"
HERB000645,蟾蜍,https://www.dayi.org.cn/cmedical/1118092.html,Toxicity|Properties|Meridians,"{""Toxicity"": ""有毒"", ""Properties"": ""味辛，性凉，"", ""Meridians"": ""归心、肝、脾、肺经""}"
HERB000653,蝉翼藤,https://www.dayi.org.cn/cmedical/1113904.html,Properties,"{""Properties"": ""味辛、苦，性微寒""}"
HERB000656,长瓣金莲花,https://www.dayi.org.cn/cmedical/305750.html,Properties,"{""Properties"": ""味苦，性寒。入肺经""}"
HERB000663,长春花,https://www.dayi.org.cn/cmedical/305754.html,Toxicity|Properties|Meridians,"{""Toxicity"": ""有毒"", ""Properties"": ""味苦，性寒"", ""Meridians"": ""归肝、肾经""}"
HERB000664,常春藤,https://www.dayi.org.cn/cmedical/1113896.html,Properties|Meridians,"{""Properties"": ""味苦、涩，性平，"", ""Meridians"": ""归肾经""}"
HERB000665,常春油麻藤,https://www.dayi.org.cn/cmedical/1113898.html,Toxicity|Properties,"{""Toxicity"": ""无毒"", ""Properties"": ""味甘、微苦，性温""}"
HERB000677,长管香茶菜,https://www.dayi.org.cn/cmedical/305766.html,Toxicity|Properties|Meridians,"{""Toxicity"": ""无毒"", ""Properties"": ""味苦，性寒。"", ""Meridians"": ""归肝、肾经""}"
HERB000714,长尾复叶耳蕨,https://www.dayi.org.cn/cmedical/305778.html,Properties,"{""Properties"": ""味苦，性寒。入胃、肾经""}"
HERB000716,香茅,https://www.dayi.org.cn/cmedical/304681.html,Toxicity|UsePart|Function|Indication|Properties|Meridians,"{""Toxicity"": ""无毒"", ""UsePart"": ""全草"", ""Function"": ""祛风通络，温中止痛，止泻。"", ""Indication"": ""感冒头身疼痛，风寒湿痹，脘腹冷痛，泄泻，跌打损伤。"", ""Properties"": ""味甘、辛，性温"", ""Meridians"": ""归肺、膀胱、胃经""}"
HERB000742,当归,https://www.dayi.org.cn/cmedical/300362.html,Herb_latin_name|Toxicity|Therapeutic_cn_class|UsePart|Function|Indication|Properties|Meridians,"{""Herb_latin_name"": ""Angelicae Sinensis Radix"", ""Toxicity"": ""无毒"", ""Therapeutic_cn_class"": ""补血药"", ""UsePart"": ""根"", ""Function"": ""本品具有补血活血，调经止痛，润肠通便的功效。"", ""Indication"": ""主治血虚萎黄，眩晕心悸，月经不调，经闭痛经，虚寒腹痛，风湿痹痛，跌扑损伤，痈疽疮疡，肠燥便秘等。"", ""Properties"": ""味甘、辛，性温"", ""Meridians"": ""归肝、心、脾经""}"
HERB000733,长叶水麻,https://www.dayi.org.cn/cmedical/305785.html,Properties,"{""Properties"": ""味辛、苦，性凉""}"
HERB000744,潮风草,https://www.dayi.org.cn/cmedical/1117671.html,Properties|Meridians,"{""Properties"": ""味苦、咸，性寒"", ""Meridians"": ""归胃、肝、肺经""}"
HERB000740,唐松草,https://www.dayi.org.cn/cmedical/1116069.html,UsePart|Function|Indication|Properties|Meridians,"{""UsePart"": ""根及根茎"", ""Function"": ""清热泻火，燥湿解毒。"", ""Indication"": ""唐松草主要用于治疗热病心烦，湿热泻痢，肺热咳嗽，目赤肿痛，痈肿疮疖。"", ""Properties"": ""味苦，性寒，"", ""Meridians"": ""归心、肝、大肠经""}"
HERB000766,车前,https://www.dayi.org.cn/cmedical/1113935.html,Properties|Meridians,"{""Properties"": ""味甘，性寒，"", ""Meridians"": ""归肝、肾、肺、小肠经""}"
HERB000767,车前草,https://www.dayi.org.cn/cmedical/300172.html,UsePart,"{""UsePart"": ""全草""}"
HERB000770,车前子,https://www.dayi.org.cn/cmedical/300173.html,UsePart,"{""UsePart"": ""种子""}"
HERB000775,陈皮,https://www.dayi.org.cn/cmedical/300175.html,UsePart,"{""UsePart"": ""成熟果皮""}"
HERB000783,柽柳,https://www.dayi.org.cn/cmedical/300176.html,Toxicity,"{""Toxicity"": ""无毒""}"
HERB000779,秤杆草,https://www.dayi.org.cn/cmedical/1113914.html,Properties,"{""Properties"": ""味微酸、涩，性凉""}"
HERB000794,赤茯苓,https://www.dayi.org.cn/cmedical/1113943.html,Herb_latin_name|UsePart|Function|Indication|Properties|Meridians,"{""Herb_latin_name"": ""Poria Rubra"", ""UsePart"": ""菌核的淡红色部分"", ""Function"": ""行水，利湿热。"", ""Indication"": ""小便不利，水肿，淋浊，泄泻。"", ""Properties"": ""味甘、淡，性平"", ""Meridians"": ""归心、脾、膀胱经""}"
HERB000797,翅果藤,https://www.dayi.org.cn/cmedical/1116103.html,Properties,"{""Properties"": ""甘，苦，辛""}"
HERB000800,赤芍,https://www.dayi.org.cn/cmedical/300177.html,UsePart,"{""UsePart"": ""根""}"
HERB000803,赤石脂,https://www.dayi.org.cn/cmedical/300178.html,UsePart,"{""UsePart"": ""四水硅酸铝""}"
HERB000802,赤芍药,https://www.dayi.org.cn/cmedical/1113945.html,UsePart|Function|Indication|Properties|Meridians,"{""UsePart"": ""根"", ""Function"": ""清热凉血，散瘀止痛。"", ""Indication"": ""赤芍药主要用于治疗热入营血，温毒发斑，吐血衄血，目赤肿痛，肝郁胁痛，经闭痛经，癥瘕腹痛，跌仆损伤，痈肿疮疡。"", ""Properties"": ""味苦，性微寒，"", ""Meridians"": ""归肝经""}"
HERB000799,赤楠,https://www.dayi.org.cn/cmedical/1113942.html,Properties|Meridians,"{""Properties"": ""味甘，性平"", ""Meridians"": ""归脾、肾、肝经""}"
HERB000806,赤小豆,https://www.dayi.org.cn/cmedical/300179.html,Toxicity|UsePart,"{""Toxicity"": ""无毒"", ""UsePart"": ""成熟种子""}"
HERB000808,赤阳子,https://www.dayi.org.cn/cmedical/1113954.html,Herb_latin_name|UsePart|Function|Indication|Properties,"{""Herb_latin_name"": ""Pyracantha fortuneana（ Maxim.）Li"", ""UsePart"": ""果实"", ""Function"": ""健脾消积，收敛止痢，止痛。"", ""Indication"": ""主要用于痞块，食积停滞，脘腹胀满，泄泻，痢疾，崩漏，带下，跌打损伤。"", ""Properties"": ""味酸、涩，性平""}"
HERB000809,齿叶草,https://www.dayi.org.cn/cmedical/1113956.html,Toxicity|Properties,"{""Toxicity"": ""有小毒"", ""Properties"": ""味苦，性凉""}"
HERB000813,齿叶橐吾,https://www.dayi.org.cn/cmedical/1117429.html,Properties,"{""Properties"": ""味辛，性微温""}"
HERB000814,虫白蜡,https://www.dayi.org.cn/cmedical/300181.html,Toxicity|Properties|Meridians,"{""Toxicity"": ""无毒"", ""Properties"": ""味甘、淡，性温"", ""Meridians"": ""归肝经""}"
HERB000817,重唇鱼,https://www.dayi.org.cn/cmedical/305885.html,Toxicity|Properties|Meridians,"{""Toxicity"": ""无毒"", ""Properties"": ""味甘，性平。"", ""Meridians"": ""归脾、肾经""}"
HERB000822,茺蔚子,https://www.dayi.org.cn/cmedical/300180.html,Toxicity|UsePart,"{""Toxicity"": ""小毒"", ""UsePart"": ""河南、四川、江苏、安徽、湖北、浙江、山东、河北""}"
HERB000818,重楼,https://www.dayi.org.cn/cmedical/305886.html,Toxicity|Properties|Meridians,"{""Toxicity"": ""有小毒"", ""Properties"": ""味苦，性微寒"", ""Meridians"": ""归肝经""}"
HERB000825,臭柏,https://www.dayi.org.cn/cmedical/1113623.html,Properties|Meridians,"{""Properties"": ""味辛、苦，性平"", ""Meridians"": ""归肝、肾经""}"
HERB000829,臭茉莉,https://www.dayi.org.cn/cmedical/1113642.html,Properties,"{""Properties"": ""味苦、辛，性微温""}"
HERB000826,臭草,https://www.dayi.org.cn/cmedical/1113632.html,Properties,"{""Properties"": ""味辛、微苦，性寒""}"
HERB000830,臭牡丹,https://www.dayi.org.cn/cmedical/1113646.html,Properties|Meridians,"{""Properties"": ""味辛、微苦，性平"", ""Meridians"": ""归心、肝、脾经""}"
HERB000831,臭牡丹根,https://www.dayi.org.cn/cmedical/1113644.html,UsePart|Function|Indication|Properties,"{""UsePart"": ""根"", ""Function"": ""行气健脾，祛风除湿，消肿解毒。"", ""Indication"": ""食滞腹胀，头昏，虚咳，久痢脱肛，肠痔下血，淋浊带下，风湿痛，脚气，痈疽肿毒，漆疮，高血压病。"", ""Properties"": ""味辛、苦，性温""}"
