Herb_ID,Herb_cn_name,status,detail_url,reason
HERB005757,梧桐叶,not_found,,no exact cmedical result in search page
HERB005760,乌头附子尖,not_found,,no exact cmedical result in search page
HERB005754,梧桐白皮,no_fields,https://www.dayi.org.cn/cmedical/1115307.html,detail page parsed but no mapped fields found
HERB005758,梧桐子,no_fields,https://www.dayi.org.cn/cmedical/1115309.html,detail page parsed but no mapped fields found
HERB005767,乌药,ok_no_empty_fields,https://www.dayi.org.cn/cmedical/304392.html,matched page but target columns already had values
HERB005768,无叶白前,not_found,,no exact cmedical result in search page
HERB005769,无叶瓜藤,not_found,,no exact cmedical result in search page
HERB005770,无叶加木贼,not_found,,no exact cmedical result in search page
HERB005771,无叶藤,not_found,,no exact cmedical result in search page
HERB005772,无叶鱼黄草,not_found,,no exact cmedical result in search page
HERB005775,吴芋,not_found,,no exact cmedical result in search page
HERB005773,午夜猪屎豆,not_found,,no exact cmedical result in search page
HERB005774,芜荑,no_fields,https://www.dayi.org.cn/cmedical/304428.html,detail page parsed but no mapped fields found
HERB005777,乌贼骨,not_found,,no exact cmedical result in search page
HERB005785,西阿拉黄檀,not_found,,no exact cmedical result in search page
HERB005778,五爪龙,ok_no_empty_fields,https://www.dayi.org.cn/cmedical/304491.html,matched page but target columns already had values
HERB005786,狭序唐松草,not_found,,no exact cmedical result in search page
HERB005790,西班牙黄杨,not_found,,no exact cmedical result in search page
HERB005793,木酱紫,not_found,,no exact cmedical result in search page
HERB005791,西班牙云香草,not_found,,no exact cmedical result in search page
HERB005789,膝瓣乌头,not_found,,no exact cmedical result in search page
HERB005792,西北木,not_found,,no exact cmedical result in search page
HERB005794,细柄十大功劳,not_found,,no exact cmedical result in search page
HERB005798,锡箔决明,not_found,,no exact cmedical result in search page
HERB005795,细柄薯蓣,no_fields,https://www.dayi.org.cn/cmedical/304555.html,detail page parsed but no mapped fields found
HERB005797,锡箔金合欢,not_found,,no exact cmedical result in search page
HERB005799,西伯利亚红松,not_found,,no exact cmedical result in search page
HERB005800,西伯利亚冷杉,not_found,,no exact cmedical result in search page
HERB005804,西伯利亚云杉,not_found,,no exact cmedical result in search page
HERB005803,西伯利亚远志,not_found,,no exact cmedical result in search page
HERB005805,西博氏卫矛,not_found,,no exact cmedical result in search page
HERB005802,西伯利亚橐吾,not_found,,no exact cmedical result in search page
HERB005806,西草,not_found,,no exact cmedical result in search page
HERB005810,新店獐牙菜,not_found,,no exact cmedical result in search page
HERB005808,西川芎,not_found,,no exact cmedical result in search page
HERB005809,西党,not_found,,no exact cmedical result in search page
HERB005812,西方苍耳,not_found,,no exact cmedical result in search page
HERB005813,西方刺柏,not_found,,no exact cmedical result in search page
HERB005816,西非荔枝果,not_found,,no exact cmedical result in search page
HERB005815,西非红豆树,not_found,,no exact cmedical result in search page
HERB005814,西方翠雀,not_found,,no exact cmedical result in search page
HERB005819,细梗香草,not_found,,no exact cmedical result in search page
HERB005817,西非羊角拗,not_found,,no exact cmedical result in search page
HERB005822,西瓜子仁,no_fields,https://www.dayi.org.cn/cmedical/1115368.html,detail page parsed but no mapped fields found
HERB005820,西瓜,no_fields,https://www.dayi.org.cn/cmedical/1115364.html,detail page parsed but no mapped fields found
HERB005821,西瓜皮,no_fields,https://www.dayi.org.cn/cmedical/1115366.html,detail page parsed but no mapped fields found
HERB005827,西葫芦,not_found,,no exact cmedical result in search page
HERB005829,细花滇紫草,not_found,,no exact cmedical result in search page
HERB005828,西琥珀,not_found,,no exact cmedical result in search page
HERB005826,西红花,no_fields,https://www.dayi.org.cn/cmedical/1115483.html,detail page parsed but no mapped fields found
HERB005825,西河柳,no_fields,https://www.dayi.org.cn/cmedical/1115916.html,detail page parsed but no mapped fields found
HERB005833,西黄草,not_found,,no exact cmedical result in search page
HERB005830,细花含羞草,not_found,,no exact cmedical result in search page
HERB005834,西黄胶粉,not_found,,no exact cmedical result in search page
HERB005831,细花线纹香茶菜,not_found,,no exact cmedical result in search page
HERB005835,犀角,ok_no_empty_fields,https://www.dayi.org.cn/cmedical/1118129.html,matched page but target columns already had values
HERB005836,锡金十大功劳,not_found,,no exact cmedical result in search page
HERB005837,细茎石斛,not_found,,no exact cmedical result in search page
HERB005838,席卷鸦葱,not_found,,no exact cmedical result in search page
HERB005840,希腊食草,not_found,,no exact cmedical result in search page
HERB005841,希腊丝毛石,not_found,,no exact cmedical result in search page
HERB005842,锡兰古柯,not_found,,no exact cmedical result in search page
HERB005846,习罗汉松,not_found,,no exact cmedical result in search page
HERB005847,西玛白蜡树,not_found,,no exact cmedical result in search page
HERB005845,溪流猪殃殃,not_found,,no exact cmedical result in search page
HERB005848,喜马独尾草,not_found,,no exact cmedical result in search page
HERB005849,喜马红景天,not_found,,no exact cmedical result in search page
HERB005851,喜马拉雅鸢尾,not_found,,no exact cmedical result in search page
HERB005850,喜马拉雅红豆杉,not_found,,no exact cmedical result in search page
HERB005852,喜马拉雅远志,not_found,,no exact cmedical result in search page
HERB005855,西门飞草,not_found,,no exact cmedical result in search page
HERB005853,喜马旋覆花,not_found,,no exact cmedical result in search page
HERB005854,喜马浮萍,not_found,,no exact cmedical result in search page
HERB005862,西南忍冬,not_found,,no exact cmedical result in search page
HERB005861,西南猫尾树,not_found,,no exact cmedical result in search page
HERB005856,西蒙斯十大功劳,not_found,,no exact cmedical result in search page
HERB005863,西南石苇,not_found,,no exact cmedical result in search page
HERB005865,西南獐芽菜,not_found,,no exact cmedical result in search page
HERB005867,西欧鸢尾,not_found,,no exact cmedical result in search page
HERB005873,溪山翠雀,not_found,,no exact cmedical result in search page
HERB005866,锡囊马尾藻,not_found,,no exact cmedical result in search page
HERB005872,硒砂,not_found,,no exact cmedical result in search page
HERB005870,西秦艽,not_found,,no exact cmedical result in search page
HERB005882,蟋蟀,no_fields,https://www.dayi.org.cn/cmedical/1155863.html,detail page parsed but no mapped fields found
HERB005884,西台,not_found,,no exact cmedical result in search page
HERB005877,喜树,no_fields,https://www.dayi.org.cn/cmedical/1115930.html,detail page parsed but no mapped fields found
HERB005886,西西里草木犀,not_found,,no exact cmedical result in search page
HERB005887,西西里漆树,not_found,,no exact cmedical result in search page
HERB005888,希莶,not_found,,no exact cmedical result in search page
HERB005885,西特卡云杉,not_found,,no exact cmedical result in search page
HERB005890,西香葱,not_found,,no exact cmedical result in search page
HERB005896,喜盐鸢尾,not_found,,no exact cmedical result in search page
HERB005895,细心野牵牛,not_found,,no exact cmedical result in search page
HERB005898,夕阳接骨木,not_found,,no exact cmedical result in search page
HERB005897,夕阳红,not_found,,no exact cmedical result in search page
HERB005894,细辛,ok_no_empty_fields,https://www.dayi.org.cn/cmedical/304565.html,matched page but target columns already had values
HERB005899,西洋梨,not_found,,no exact cmedical result in search page
HERB005903,细叶百合,not_found,,no exact cmedical result in search page
HERB005901,西洋参茎叶,not_found,,no exact cmedical result in search page
HERB005905,细叶堆心菊,not_found,,no exact cmedical result in search page
HERB005902,细叶桉叶,no_fields,https://www.dayi.org.cn/cmedical/304567.html,detail page parsed but no mapped fields found
HERB005906,细叶功劳木,not_found,,no exact cmedical result in search page
HERB005907,细叶功劳叶,not_found,,no exact cmedical result in search page
HERB005909,洗液蛇鞭菊,not_found,,no exact cmedical result in search page
HERB005912,细叶藤,not_found,,no exact cmedical result in search page
HERB005908,细叶黄杨,no_fields,https://www.dayi.org.cn/cmedical/1116743.html,detail page parsed but no mapped fields found
HERB005911,细叶水团花,not_found,,no exact cmedical result in search page
HERB005913,细叶铁线蕨,not_found,,no exact cmedical result in search page
HERB005914,细叶小檗,not_found,,no exact cmedical result in search page
HERB005916,细叶猪屎豆,not_found,,no exact cmedical result in search page
HERB005917,细圆藤,not_found,,no exact cmedical result in search page
HERB005918,西藏胡黄连,not_found,,no exact cmedical result in search page
HERB005915,细叶益母草,not_found,,no exact cmedical result in search page
HERB005919,西藏鹿蹄草,not_found,,no exact cmedical result in search page
HERB005922,西藏沙棘,not_found,,no exact cmedical result in search page
HERB005924,西藏铁线莲,not_found,,no exact cmedical result in search page
HERB005920,西藏秦艽,not_found,,no exact cmedical result in search page
HERB005925,西藏中麻黄,not_found,,no exact cmedical result in search page
HERB005927,细毡毛忍冬,not_found,,no exact cmedical result in search page
HERB005926,西泽兰,not_found,,no exact cmedical result in search page
HERB005923,西藏酸模,no_fields,https://www.dayi.org.cn/cmedical/304511.html,detail page parsed but no mapped fields found
HERB005930,细子麻黄,not_found,,no exact cmedical result in search page
HERB005934,西陲苔草,not_found,,no exact cmedical result in search page
HERB005932,夏草,not_found,,no exact cmedical result in search page
HERB005937,前胡,no_fields,https://www.dayi.org.cn/cmedical/302804.html,detail page parsed but no mapped fields found
HERB005935,夏风信子,not_found,,no exact cmedical result in search page
