Herb_ID,Herb_cn_name,chp_detail_url,dayi_detail_url,chp_filled_fields,dayi_filled_fields,filled_values
HERB005174,水苦荬,,https://www.dayi.org.cn/cmedical/303698.html,,Function|Indication|Properties|Meridians,"{""Function"": ""清热解毒，活血止血。"", ""Indication"": ""感冒，咽痛，劳伤咯血，痢疾，血淋，月经不调，疮肿，跌打损伤。"", ""Properties"": ""味苦，性凉"", ""Meridians"": ""归肺、肝、肾经""}"
HERB005187,水曲柳,,https://www.dayi.org.cn/cmedical/303735.html,,Properties|Meridians,"{""Properties"": ""味苦，性寒。"", ""Meridians"": ""归肝、肺、大肠经""}"
HERB005181,水木草,,https://www.dayi.org.cn/cmedical/303723.html,,Properties,"{""Properties"": ""味苦，性凉""}"
HERB005190,水松,,https://www.dayi.org.cn/cmedical/303743.html,,Toxicity|Properties|Meridians,"{""Toxicity"": ""无毒"", ""Properties"": ""味甘、咸，性寒。"", ""Meridians"": ""归膀胱、大肠经""}"
HERB005193,水蜈蚣,,https://www.dayi.org.cn/cmedical/303759.html,,Properties|Meridians,"{""Properties"": ""味辛、微苦、甘，性平。"", ""Meridians"": ""归肺、肝经""}"
HERB005201,水杨梅,,https://www.dayi.org.cn/cmedical/303769.html,,UsePart|Function|Indication|Properties,"{""UsePart"": ""地上部分"", ""Function"": ""清利湿热，解毒消肿。"", ""Indication"": ""水杨梅主要用于治疗湿热泄泻，痢疾，湿疹，疮疖肿毒，风火牙痛，跌打损伤，外伤出血。"", ""Properties"": ""味苦、涩，性凉""}"
HERB005194,水仙花,,https://www.dayi.org.cn/cmedical/1115195.html,,Herb_latin_name|Toxicity|UsePart|Function|Indication|Properties|Meridians,"{""Herb_latin_name"": ""Flos Narcissus Tazettae"", ""Toxicity"": ""有毒"", ""UsePart"": ""花"", ""Function"": ""清心悦神，理气调经，解毒辟秽。"", ""Indication"": ""神疲头昏，月经不调，痢疾，疮肿。"", ""Properties"": ""味辛，性凉"", ""Meridians"": ""归肝、肺经""}"
HERB005184,水茄,,https://www.dayi.org.cn/cmedical/303728.html,,Toxicity|Properties|Meridians,"{""Toxicity"": ""小毒"", ""Properties"": ""味辛，性平。"", ""Meridians"": ""归肺、心、肝经""}"
HERB005202,水杨梅,,https://www.dayi.org.cn/cmedical/303769.html,,UsePart|Function|Indication|Properties,"{""UsePart"": ""地上部分"", ""Function"": ""清利湿热，解毒消肿。"", ""Indication"": ""水杨梅主要用于治疗湿热泄泻，痢疾，湿疹，疮疖肿毒，风火牙痛，跌打损伤，外伤出血。"", ""Properties"": ""味苦、涩，性凉""}"
HERB005197,水仙花,,https://www.dayi.org.cn/cmedical/1115195.html,,Toxicity|Properties|Meridians,"{""Toxicity"": ""有毒"", ""Properties"": ""味辛，性凉"", ""Meridians"": ""归肝、肺经""}"
