Herb_ID,Herb_cn_name,detail_url,filled_fields,filled_values
HERB002298,洪连,https://ydz.chp.org.cn/#/item?bookId=1&entryId=420,Properties|Meridians|Function|Indication,"{""Properties"": ""苦、甘，寒"", ""Meridians"": ""归肺、心、肝经"", ""Function"": ""清热，解毒，利湿，平肝，行血，调经"", ""Indication"": ""用于发热烦渴，肺热咳嗽，头痛眩晕，湿热黄疸，月经不调，药食中毒。""}"
HERB002309,红芪,https://ydz.chp.org.cn/#/item?bookId=1&entryId=234,Herb_latin_name|UsePart|Properties|Meridians|Function,"{""Herb_latin_name"": ""HEDYSARI RADIX"", ""UsePart"": ""根"", ""Properties"": ""甘，微温"", ""Meridians"": ""归肺、脾经"", ""Function"": ""补气升阳，固表止汗，利水消肿，生津养血，行滞通痹，托毒排脓，敛疮生肌""}"
HERB002319,红参,https://ydz.chp.org.cn/#/item?bookId=1&entryId=237,UsePart,"{""UsePart"": ""根""}"
HERB002339,厚朴,https://ydz.chp.org.cn/#/item?bookId=1&entryId=394,Properties|Meridians,"{""Properties"": ""苦、辛，温"", ""Meridians"": ""归脾、胃、肺、大肠经""}"
HERB002353,湖北贝母,https://ydz.chp.org.cn/#/item?bookId=1&entryId=553,Properties|Meridians,"{""Properties"": ""微苦，凉"", ""Meridians"": ""归肺、心经""}"
HERB002343,厚朴花,https://ydz.chp.org.cn/#/item?bookId=1&entryId=395,Properties|Meridians,"{""Properties"": ""苦，微温"", ""Meridians"": ""归脾、胃经""}"
HERB002340,厚朴花,https://ydz.chp.org.cn/#/item?bookId=1&entryId=395,Herb_latin_name|UsePart|Properties|Meridians|Function|Indication,"{""Herb_latin_name"": ""MAGNOLIAE OFFICINALIS FLOS"", ""UsePart"": ""花蕾"", ""Properties"": ""苦，微温"", ""Meridians"": ""归脾、胃经"", ""Function"": ""芳香化湿，理气宽中"", ""Indication"": ""用于脾胃湿阻气滞，胸脘痞闷胀满，纳谷不香。""}"
HERB002369,胡黄连,https://ydz.chp.org.cn/#/item?bookId=1&entryId=378,Herb_latin_name|UsePart|Properties|Meridians|Function,"{""Herb_latin_name"": ""PICRORHIZAE RHIZOMA"", ""UsePart"": ""根茎"", ""Properties"": ""苦，寒"", ""Meridians"": ""归肝、胃、大肠经"", ""Function"": ""退虚热，除疳热，清湿热""}"
HERB002376,胡芦巴,https://ydz.chp.org.cn/#/item?bookId=1&entryId=377,Herb_latin_name|Properties|Meridians|Function,"{""Herb_latin_name"": ""TRIGONELLAE SEMEN"", ""Properties"": ""苦，温"", ""Meridians"": ""归肾经"", ""Function"": ""温肾助阳，祛寒止痛""}"
HERB002446,华山参,https://ydz.chp.org.cn/#/item?bookId=1&entryId=215,Herb_latin_name|UsePart|Properties|Meridians|Function,"{""Herb_latin_name"": ""PHYSOCHLAINAE RADIX"", ""UsePart"": ""根"", ""Properties"": ""甘、微苦，温；有毒"", ""Meridians"": ""归肺、心经"", ""Function"": ""温肺祛痰，平喘止咳，安神镇惊""}"
HERB002472,槐花,https://ydz.chp.org.cn/#/item?bookId=1&entryId=563,UsePart,"{""UsePart"": ""花""}"
HERB002489,黄柏,https://ydz.chp.org.cn/#/item?bookId=1&entryId=482,Indication,"{""Indication"": ""用于湿热泻痢，黄疸尿赤，带下阴痒，热淋涩痛，脚气痿躄，骨蒸劳热，盗汗，遗精，疮疡肿毒，湿疹湿疮。盐黄柏滋阴降火。用于阴虚火旺，盗汗骨蒸。""}"
HERB002473,槐角,https://ydz.chp.org.cn/#/item?bookId=1&entryId=564,UsePart|Indication,"{""UsePart"": ""成熟果实"", ""Indication"": ""用于肠热便血，痔肿出血，肝热头痛，眩晕目赤。""}"
HERB002574,黄蜀葵花,https://ydz.chp.org.cn/#/item?bookId=1&entryId=483,Properties|Meridians,"{""Properties"": ""甘、寒"", ""Meridians"": ""归肾、膀胱经""}"
HERB002573,黄山药,https://ydz.chp.org.cn/#/item?bookId=1&entryId=477,UsePart|Properties|Meridians,"{""UsePart"": ""根茎"", ""Properties"": ""苦、微辛，平"", ""Meridians"": ""归胃、心经""}"
HERB002650,珍珠母,https://ydz.chp.org.cn/#/item?bookId=1&entryId=360,Properties|Meridians,"{""Properties"": ""咸，寒"", ""Meridians"": ""归肝、心经""}"
HERB002679,蒺藜,https://ydz.chp.org.cn/#/item?bookId=1&entryId=559,UsePart|Properties|Meridians,"{""UsePart"": ""成熟果实"", ""Properties"": ""辛、苦，微温；有小毒"", ""Meridians"": ""归肝经""}"
HERB002714,鸡血藤,https://ydz.chp.org.cn/#/item?bookId=1&entryId=297,UsePart,"{""UsePart"": ""藤茎""}"
HERB002835,僵蚕,https://ydz.chp.org.cn/#/item?bookId=1&entryId=598,Properties|Meridians|Function|Indication,"{""Properties"": ""咸、辛，平"", ""Meridians"": ""归肝、肺、胃经"", ""Function"": ""息风止痉，祛风止痛，化痰散结"", ""Indication"": ""用于肝风夹痰，惊痫抽搐，小儿急惊风，破伤风，中风口㖞，风热头痛，目赤咽痛，风疹瘙痒，发颐痄腮。""}"
HERB002852,焦槟榔,https://ydz.chp.org.cn/#/item?bookId=1&entryId=582,Properties|Meridians,"{""Properties"": ""苦、辛，温"", ""Meridians"": ""归胃、大肠经""}"
HERB002887,芥子,https://ydz.chp.org.cn/#/item?bookId=1&entryId=249,Properties|Meridians,"{""Properties"": ""辛，温"", ""Meridians"": ""归肺经""}"
HERB002871,焦栀子,https://ydz.chp.org.cn/#/item?bookId=1&entryId=389,Properties|Meridians|Function|Indication,"{""Properties"": ""苦，寒"", ""Meridians"": ""归心、肺、三焦经"", ""Function"": ""凉血止血"", ""Indication"": ""用于血热吐血，衄血，尿血，崩漏。""}"
HERB002893,锦灯笼,https://ydz.chp.org.cn/#/item?bookId=1&entryId=572,Herb_latin_name|Properties|Meridians|Function|Indication,"{""Herb_latin_name"": ""PHYSALIS CALYX SEU FRUCTUS"", ""Properties"": ""苦，寒"", ""Meridians"": ""归肺经"", ""Function"": ""清热解毒，利咽化痰，利尿通淋"", ""Indication"": ""用于咽痛音哑，痰热咳嗽，小便不利，热淋涩痛；外治天疱疮，湿疹。""}"
HERB002902,筋骨草,https://ydz.chp.org.cn/#/item?bookId=1&entryId=550,Properties|Meridians,"{""Properties"": ""苦，寒"", ""Meridians"": ""归肺经""}"
HERB002941,金荞麦,https://ydz.chp.org.cn/#/item?bookId=1&entryId=338,UsePart|Properties|Meridians,"{""UsePart"": ""根茎"", ""Properties"": ""微辛、涩，凉"", ""Meridians"": ""归肺经""}"
HERB002937,金钱草,https://ydz.chp.org.cn/#/item?bookId=1&entryId=340,UsePart,"{""UsePart"": ""全草""}"
HERB002954,金铁锁,https://ydz.chp.org.cn/#/item?bookId=1&entryId=341,Properties|Meridians,"{""Properties"": ""苦、辛，温；有小毒"", ""Meridians"": ""归肝经""}"
HERB002991,金荞麦,https://ydz.chp.org.cn/#/item?bookId=1&entryId=338,Herb_latin_name|UsePart|Properties|Meridians|Function|Indication,"{""Herb_latin_name"": ""FAGOPYRI DIBOTRYIS RHIZOMA"", ""UsePart"": ""根茎"", ""Properties"": ""微辛、涩，凉"", ""Meridians"": ""归肺经"", ""Function"": ""清热解毒，排脓祛瘀"", ""Indication"": ""用于肺痈吐脓，肺热喘咳，乳蛾肿痛。""}"
HERB002976,京大戟,https://ydz.chp.org.cn/#/item?bookId=1&entryId=349,UsePart|Properties|Meridians,"{""UsePart"": ""根"", ""Properties"": ""苦，寒；有毒"", ""Meridians"": ""归肺、脾、肾经""}"
