Disease_id	Disease_name	Disease_alias_name	DisGeNET_disease_type	UMLS_disease_type	MeSH_disease_class	HPO_disease_class	DO_disease_class	UMLS_disease_type_id	MeSH_disease_class_id	HPO_disease_class_id	DO_disease_class_id	DisGeNET_id	MeSH_id	HPO_id	DO_id	ICD10_id	OMIM_id
HBDIS001999	Muscle Rigidity	Nuchal Rigidity; Muscle Rigidity; Cogwheel Rigidity; Catatonic Rigidity; Extrapyramidal Rigidity; Gegenhalten; Extensor Rigidity; Rigidity	phenotype	Sign or Symptom	Musculoskeletal Diseases; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Abnormality of the nervous system	NA	T184	C05; C10; C23	HP:0000707	NA	C0026837	D009127	HP:0002063	NA	NA	NA
HBDIS002000	Muscle Spasticity	Clasp-Knife Spasticity; Spasticity; Spastic; Involuntary Muscle Stiffness, Contraction, Or Spasm; Muscular Spasticity; Muscle Spasticity	phenotype	Sign or Symptom	Musculoskeletal Diseases; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Abnormality of the musculature; Abnormality of the nervous system	NA	T184	C05; C10; C23	HP:0003011; HP:0000707	NA	C0026838	D009128	HP:0001257	NA	NA	NA
HBDIS002001	Muscular Atrophy	Muscular Atrophy; Neurogenic Muscular Atrophy	phenotype	Pathologic Function	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	NA	disease of anatomical entity	T046	C10; C23	NA	DOID:7	C0026846	D009133	NA	767	NA	NA
HBDIS002002	Spinal Muscular Atrophy	Spinal Muscle Wasting; Myelopathic Muscular Atrophy; Oculopharyngeal Spinal Muscular Atrophy; Spinal Muscular Atrophy, Unspecified; Muscular Atrophy, Spinal; Spinal Muscle Degeneration; Distal Spinal Muscular Atrophy; Progressive Muscular Atrophy; Spinal Muscular Atrophy; Hereditary Motor Neuronopathy; Progressive Proximal Myelopathic Muscular Atrophy; Bulbospinal Neuronopathy; Scapuloperoneal Form of Spinal Muscular Atrophy	disease	Disease or Syndrome	Nervous System Diseases	Abnormality of the musculature	disease of anatomical entity	T047	C10	HP:0003011	DOID:7	C0026847	D009134	HP:0007269	318; 12377	G12.9	NA
HBDIS002003	Myopathy	Myopathic Changes; Muscle Tissue Disease; Myopathy; Disorder of Muscle, Unspecified; Myopathy, Unspecified; Muscular Diseases; Disorders of Muscles	group	Disease or Syndrome	Nervous System Diseases; Musculoskeletal Diseases	Abnormality of the musculature	disease of anatomical entity	T047	C05; C10	HP:0003011	DOID:7	C0026848	D009135	HP:0003198	423	M60-M63.9; G72.9; M62.9	NA
HBDIS002004	Muscular Dystrophy	Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2A; Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2M; Autosomal Dominant Limb-Girdle Muscular Dystrophy Type 1; Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2T; Autosomal Dominant Limb-Girdle Muscular Dystrophy Type 3; Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2I; Limb-Girdle Muscular Dystrophy; Myofibrillar Myopathy 1; Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2C; Muscular Dystrophies; Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2N; Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2F; Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2U; Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2P; Facioscapulohumeral Muscular Dystrophy; Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2O; Autosomal Recessive Limb-Girdle Muscular Dystrophy; Oculopharyngeal Muscular Dystrophy; Autosomal Dominant Emery-Dreifuss Muscular Dystrophy 2; Rippling Muscle Disease 2; Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2G; Congenital Muscular Dystrophy; Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2B; Myofibrillar Myopathy 3; Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2S; Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2L; Autosomal Dominant Limb-Girdle Muscular Dystrophy Type 2; Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2K; Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2H; Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2D; Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2J; Autosomal Dominant Limb-Girdle Muscular Dystrophy; Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2Q; Muscular Dystrophy; Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2E; Distal Myopathy; Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2Y; Autosomal Dominant Limb-Girdle Muscular Dystrophy Type 1H	disease	Disease or Syndrome	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Musculoskeletal Diseases	Abnormality of the musculature	disease of anatomical entity; genetic disease	T047	C05; C16; C10	HP:0003011	DOID:7; DOID:630	C0026850	D009136	HP:0003560	11724; 110282; 110279; 110284; 110276; 110294; 110297; 110273; 11719; 60255; 110299; 110296; 110278; 110303; 110289; 70247; 110298; 11720; 80094; 110305; 110292; 110277; 9884; 110295; 11727; 80092; 110281; 110285; 110287; 50557; 110275; 110306; 110293; 110283; 110304; 110280; 110274	G71.0	NA
HBDIS002005	Muscular Dystrophy, Animal	Muscular Dystrophy, Animal	disease	Disease or Syndrome	Animal Diseases	NA	NA	T047	C22	NA	NA	C0026851	D009137	NA	NA	NA	NA
HBDIS002006	Musculoskeletal Diseases	Musculoskeletal System Disease; Musculoskeletal Diseases	group	Disease or Syndrome	Musculoskeletal Diseases	NA	disease of anatomical entity	T047	C05	NA	DOID:7	C0026857	D009140	NA	17	NA	NA
HBDIS002007	Musculoskeletal Pain	Musculoskeletal Pain	phenotype	Finding	Musculoskeletal Diseases; Pathological Conditions, Signs and Symptoms	NA	NA	T033	C05; C23	NA	NA	C0026858	D059352	NA	NA	NA	NA
HBDIS002008	Mutism	Muteness; Mutism; Inability To Speak; Selective Mutism	phenotype	Disease or Syndrome	Mental Disorders; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Abnormality of the nervous system	disease of mental health	T047	F03; C10; C23	HP:0000707	DOID:150	C0026884	D009155	HP:0002300	4189	NA	NA
HBDIS002009	Myasthenia Gravis	Myasthenia Gravis, Ocular; Myasthenia Gravis; Myasthenia Gravis, Generalized	disease	Disease or Syndrome	Nervous System Diseases; Immune System Diseases; Neoplasms	NA	disease of anatomical entity	T047	C04; C10; C20	NA	DOID:7	C0026896	D009157	NA	437	G70.0	254200
HBDIS002010	Mycobacterium Avium-Intracellulare Infection	Mycobacterium Avium Complex Disease; Mycobacterium Avium-Intracellulare Infection	disease	Disease or Syndrome	Infections	NA	disease by infectious agent	T047	C01	NA	DOID:0050117	C0026916	D015270	NA	2755	NA	NA
