Disease_id	Disease_name	Disease_alias_name	DisGeNET_disease_type	UMLS_disease_type	MeSH_disease_class	HPO_disease_class	DO_disease_class	UMLS_disease_type_id	MeSH_disease_class_id	HPO_disease_class_id	DO_disease_class_id	DisGeNET_id	MeSH_id	HPO_id	DO_id	ICD10_id	OMIM_id
HBDIS016745	Minicore Myopathy With External Ophthalmoplegia (Disorder)	Minicore Myopathy With External Ophthalmoplegia; Minicore Disease; Minicore Myopathy	disease	Disease or Syndrome	Musculoskeletal Diseases; Eye Diseases; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Abnormality of the musculature	NA	T047	C05; C10; C11; C23	HP:0003011	NA	C1850674	C564969	HP:0003789	NA	NA	255320
HBDIS016746	Myopathy, Hyaline Body, Autosomal Recessive	Autosomal Recessive Hyaline Body Myopathy; Myopathy, Myosin Storage, Autosomal Recessive; Myopathy, Hyaline Body, Autosomal Recessive	disease	Disease or Syndrome	Nervous System Diseases; Musculoskeletal Diseases	NA	disease of anatomical entity; genetic disease	T047	C05; C10	NA	DOID:7; DOID:630	C1850709	C564970	NA	111268	NA	255160
HBDIS016747	Myopathy With Exercise Intolerance, Swedish Type	Myopathy With Lactic Acidosis, Hereditary; Myopathy With Exercise Intolerance, Swedish Type	disease	Disease or Syndrome	Nervous System Diseases; Nutritional and Metabolic Diseases; Musculoskeletal Diseases	NA	NA	T047	C05; C10; C18	NA	NA	C1850718	C564972	NA	NA	NA	255125
HBDIS016748	Recurrent Encephalopathy	Recurrent Encephalopathy; Recurrent Cerebellar And Extrapyramidal Encephalopathy	phenotype	Finding	Nervous System Diseases	Abnormality of the nervous system	NA	T033	C10	HP:0000707	NA	C1850719	NA	HP:0007335	NA	NA	NA
HBDIS016749	Transient Hyperlipidemia	Transient Hyperlipidemia	phenotype	Finding	Nutritional and Metabolic Diseases	Abnormality of metabolism/homeostasis	NA	T033	C18	HP:0001939	NA	C1850722	NA	HP:0008279	NA	NA	NA
HBDIS016750	Epilepsy, Progressive Myoclonic 2B	Myoclonic Epilepsy of Lafora; Epilepsy, Progressive Myoclonic 2B; Lafora Disease; Epilepsy, Progressive Myoclonic, 2B	disease	Disease or Syndrome	Nervous System Diseases	NA	disease of anatomical entity; genetic disease	T047	C10	NA	DOID:7; DOID:630	C1850764	C564976	NA	3534	NA	254780
HBDIS016751	Visual Auras	Visual Auras	disease	Disease or Syndrome	Nervous System Diseases	Abnormality of the nervous system	NA	T047	C10	HP:0000707	NA	C1850765	NA	HP:0011165	NA	NA	NA
HBDIS016752	Reduced Leukocyte Alkaline Phosphatase	Reduced Leukocyte Alkaline Phosphatase; Low Leukocyte Alkaline Phosphatase	phenotype	Finding	NA	Abnormality of metabolism/homeostasis	NA	T033	NA	HP:0001939	NA	C1850780	NA	HP:0004852	NA	NA	NA
HBDIS016753	Congenital Myasthenic Syndrome Ib	Myasthenic Syndrome, Congenital, 10; Cms10; Congenital Myasthenic Syndrome 10; Congenital Myasthenic Syndrome Ib	disease	Disease or Syndrome	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases	NA	disease of anatomical entity; genetic disease	T047	C16; C10	NA	DOID:7; DOID:630	C1850792	C536089	NA	110668	NA	254300
HBDIS016754	Proximal Amyotrophy	Proximal Muscle Atrophy; Proximal Amyotrophy; Symmetric Proximal Muscular Atrophy; Symmetrical, Proximal Limb Muscle Atrophy; Proximal Muscle Wasting; Muscle Atrophy, Proximal	disease	Disease or Syndrome	NA	Abnormality of the musculature	NA	T047	NA	HP:0003011	NA	C1850794	NA	HP:0007126	NA	NA	NA
HBDIS016755	Miyoshi Myopathy	Miyoshi Muscular Dystrophy 1; Miyoshi Muscular Dystrophy	disease	Disease or Syndrome	NA	NA	disease of anatomical entity; genetic disease	T047	NA	NA	DOID:7; DOID:630	C1850808	NA	NA	70199; 70198	NA	NA
HBDIS016756	Decreased/Absent Ankle Reflexes	Decreased Or Absent Ankle Reflexes; Decreased/Absent Ankle Reflexes	phenotype	Finding	NA	Abnormality of limbs; Abnormality of the nervous system	NA	T033	NA	HP:0040064; HP:0000707	NA	C1850816	NA	HP:0200101	NA	NA	NA
HBDIS016757	Exercise-Induced Myalgia	Exercise-Induced Muscle Pain; Muscle Pain On Exercise; Muscle Pain, Exercise-Induced; Muscle Pain With Exercise; Exercise-Induced Myalgia	phenotype	Sign or Symptom	Musculoskeletal Diseases; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Constitutional symptom	NA	T184	C05; C10; C23	HP:0025142	NA	C1850830	NA	HP:0003738	NA	NA	NA
HBDIS016758	Muscle Fiber Necrosis	Muscle Fiber Necrosis	phenotype	Pathologic Function	NA	Abnormality of the musculature	NA	T046	NA	HP:0003011	NA	C1850848	NA	HP:0003713	NA	NA	NA
HBDIS016759	Distal Joint Laxity	NA	phenotype	Finding	NA	NA	NA	T033	NA	NA	NA	C1850851	NA	NA	NA	NA	NA
HBDIS016760	Hyperextensibility At Wrists	Hyperextensibility At Wrists; Increased Laxity of Wrists; Increased Wrist Mobility	phenotype	Finding	NA	Abnormality of the skeletal system	NA	T033	NA	HP:0000924	NA	C1850853	NA	HP:0005072	NA	NA	NA
HBDIS016761	Increased Laxity of Ankles	Increased Laxity of Ankles	phenotype	Finding	NA	Abnormality of the skeletal system; Abnormality of limbs	NA	T033	NA	HP:0040064; HP:0000924	NA	C1850854	NA	HP:0006460	NA	NA	NA
HBDIS016762	Increased Laxity of Fingers	Increased Laxity of Fingers	phenotype	Finding	NA	Abnormality of the skeletal system; Abnormality of limbs	NA	T033	NA	HP:0040064; HP:0000924	NA	C1850855	NA	HP:0006149	NA	NA	NA
HBDIS016763	Muscular Dystrophy, Limb-Girdle, Type 2B	Muscular Dystrophy, Limb-Girdle, Autosomal Recessive 2; Limb-Girdle Muscular Dystrophy, Type 2B; Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2B	disease	Disease or Syndrome	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Musculoskeletal Diseases	NA	disease of anatomical entity	T047	C05; C16; C10	NA	DOID:7	C1850889	C535899	NA	110276	NA	253601
HBDIS016764	Familial Primary Gastric Lymphoma	Malt Lymphoma; Familial Primary Gastric Lymphoma; Gastric Lymphoma; Lymphoma, Mucosa-Associated Lymphoid Type	disease	Neoplastic Process	Digestive System Diseases; Immune System Diseases; Neoplasms; Hemic and Lymphatic Diseases	NA	disease of anatomical entity; disease of cellular proliferation	T191	C04; C15; C06; C20	NA	DOID:14566; DOID:7	C1850900	C535648	NA	10540; 50909	NA	137245
HBDIS016765	Fundus Dystrophy, Pseudoinflammatory, of Sorsby	Fundus Dystrophy, Pseudoinflammatory, of Sorsby; Sorsby Fundus Dystrophy; Sorsby'S Fundus Dystrophy	disease	Disease or Syndrome	Eye Diseases	NA	disease of anatomical entity; genetic disease	T047	C11	NA	DOID:7; DOID:630	C1850938	C564992	NA	90114	NA	136900
HBDIS016766	Corneal Dystrophy, Fuchs' Endothelial, 1	Corneal Dystrophy, Fuchs' Endothelial, 1; Fuchs' Endothelial Dystrophy; Corneal Dystrophy, Fuchs Endothelial, 1	disease	Disease or Syndrome	Eye Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities	NA	disease of anatomical entity	T047	C16; C11	NA	DOID:7	C1850959	C535478	NA	11555	NA	136800
HBDIS016767	Anterior Basal Encephalocele	Anterior Basal Encephalocele	disease	Congenital Abnormality	NA	Abnormality of head or neck; Abnormality of the skeletal system; Abnormality of the nervous system	NA	T019	NA	HP:0000924; HP:0000152; HP:0000707	NA	C1850961	NA	HP:0006992	NA	NA	NA
HBDIS016768	Median Cleft Palate	Median Cleft Palate; Central Cleft Palate; Midline Cleft Palate	disease	Congenital Abnormality	NA	Abnormality of head or neck	NA	T019	NA	HP:0000152	NA	C1850968	NA	HP:0009099	NA	NA	NA
HBDIS016769	Frontal Cutaneous Lipoma	Frontal Cutaneous Lipoma	phenotype	Finding	Skin and Connective Tissue Diseases; Neoplasms	Abnormality of connective tissue; Neoplasm; Abnormality of the integument	NA	T033	C04; C17	HP:0001574; HP:0003549; HP:0002664	NA	C1850970	NA	HP:0007541	NA	NA	NA
HBDIS016770	Foveal Hypoplasia, Isolated	Foveal Hypoplasia, Isolated	disease	Disease or Syndrome	Eye Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases	NA	NA	T047	C16; C10; C11	NA	NA	C1850993	C565005	NA	NA	NA	NA
HBDIS016771	Normal Motor Development	NA	phenotype	Finding	NA	NA	NA	T033	NA	NA	NA	C1851057	NA	NA	NA	NA	NA
HBDIS016772	Broad Columella	Columella, Wide; Increased Width of Columella; Broad Columella; Columella, Broad; Fullness of Columella	phenotype	Finding	NA	Abnormality of head or neck	NA	T033	NA	HP:0000152	NA	C1851059	NA	HP:0010761	NA	NA	NA
HBDIS016773	Severe Expressive Language Delay	Severe Expressive Language Delay	disease	Mental or Behavioral Dysfunction	NA	Abnormality of the nervous system	NA	T048	NA	HP:0000707	NA	C1851085	NA	HP:0006863	NA	NA	NA
HBDIS016774	Agenesis of The Anterior Commissure	Agenesis of The Anterior Commissure	phenotype	Finding	NA	Abnormality of the nervous system	NA	T033	NA	HP:0000707	NA	C1851087	NA	HP:0030302	NA	NA	NA
HBDIS016775	Lumbosacral Hirsutism	Lumbosacral Hirsutism	phenotype	Finding	NA	Abnormality of the integument	NA	T033	NA	HP:0001574	NA	C1851095	NA	HP:0009747	NA	NA	NA
HBDIS016776	Laurin-Sandrow Syndrome	Laurin-Sandrow Syndrome, Segmental; Mirror Image Polydactyly; Mirror Image Duplication of Digits; Laurin-Sandrow Syndrome; Laurin Sandrow Syndrome	disease	Disease or Syndrome	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases	Abnormality of the skeletal system; Abnormality of limbs	disease of anatomical entity	T047	C05; C16	HP:0040064; HP:0000924	DOID:7	C1851100	C535689	HP:0010689	111350	NA	135750
HBDIS016777	Laurin-Sandrow Syndrome, Segmental	Laurin-Sandrow Syndrome; Laurin-Sandrow Syndrome, Segmental; Laurin Sandrow Syndrome	disease	Disease or Syndrome	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases	NA	disease of anatomical entity	T047	C05; C16	NA	DOID:7	C1851101	C535689	NA	111350	NA	135750
HBDIS016778	Fibrosis of Extraocular Muscles, Congenital, 1	Congenital Fibrosis of The Extraocular Muscles; Fibrosis of Extraocular Muscles, Congenital, 1; Cfeom3B; Fibrosis of Extraocular Muscles, Congenital, 3B	disease	Disease or Syndrome	Eye Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	NA	disease of anatomical entity	T047	C16; C10; C11; C23	NA	DOID:7	C1851102	C567739	NA	80143	NA	135700
HBDIS016779	Levator Palpebrae Superioris Atrophy	Levator Palpebrae Superioris Atrophy	phenotype	Finding	NA	Abnormality of head or neck; Abnormality of the musculature	NA	T033	NA	HP:0000152; HP:0003011	NA	C1851107	NA	HP:0012241	NA	NA	NA
HBDIS016780	Superior Rectus Atrophy	Superior Rectus Atrophy; Rectus Superior Atrophy	phenotype	Finding	NA	Abnormality of head or neck; Abnormality of the musculature	NA	T033	NA	HP:0000152; HP:0003011	NA	C1851108	NA	HP:0012242	NA	NA	NA
HBDIS016781	Jones Syndrome	Jones Syndrome; Fibromatosis, Gingival, With Progressive Deafness	disease	Disease or Syndrome	Stomatognathic Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Pathological Conditions, Signs and Symptoms; Otorhinolaryngologic Diseases	NA	NA	T047	C09; C16; C23; C07; C10	NA	NA	C1851112	C535886	NA	NA	NA	135550
HBDIS016782	Hypertrichosis Terminalis, Generalized, With Or Without Gingival Hyperplasia	Hypertrichosis, Congenital Generalized, With Or Without Gingival Hyperplasia; Hypertrichosis Terminalis, Generalized, With Or Without Gingival Hyperplasia	disease	Disease or Syndrome	Stomatognathic Diseases; Skin and Connective Tissue Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Pathological Conditions, Signs and Symptoms	NA	NA	T047	C16; C17; C07; C23	NA	NA	C1851120	C565016	NA	NA	NA	135400
HBDIS016783	Desmoid Disease, Hereditary	Hereditary Desmoid Disease; Desmoid Tumor Caused By Somatic Mutation; Desmoid Disease, Hereditary	disease	Disease or Syndrome	Digestive System Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Neoplasms	NA	genetic disease	T047	C04; C06; C16	NA	DOID:630	C1851124	C535944	NA	111349	NA	135290
HBDIS016784	Progressive Cervical Vertebral Spine Fusion	Progressive Cervical Vertebral Spine Fusion	phenotype	Finding	NA	Abnormality of the skeletal system	NA	T033	NA	HP:0000924	NA	C1851129	NA	HP:0008449	NA	NA	NA
HBDIS016785	Small Cervical Vertebral Bodies	Small Cervical Vertebral Bodies; Small Cervical Vertebrae	phenotype	Finding	NA	Abnormality of the skeletal system	NA	T033	NA	HP:0000924	NA	C1851130	NA	HP:0004629	NA	NA	NA
HBDIS016786	Skeletal Dysplasia With Acanthosis Nigricans	Skeletal Dysplasia With Acanthosis Nigricans	disease	Disease or Syndrome	NA	NA	NA	T047	NA	NA	NA	C1851152	NA	NA	NA	NA	134934
HBDIS016787	Fibrinolytic Defect	Fibrinolytic Defect	disease	Disease or Syndrome	Hemic and Lymphatic Diseases	NA	NA	T047	C15	NA	NA	C1851184	C565017	NA	NA	NA	134900
HBDIS016788	Ectopia Lentis Isolated	Familial Ectopia Lentis; Isolated Ectopia Lentis; Ectopia Lentis Isolated; Autosomal Dominant Isolated Ectopia Lentis 1	disease	Disease or Syndrome	Eye Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities	NA	disease of anatomical entity; genetic disease	T047	C16; C11	NA	DOID:7; DOID:630	C1851286	C536184	NA	111150; 111148	NA	NA
HBDIS016789	Abnormality of The Renal Collecting System	Abnormality of The Renal Collecting System; Abnormal Collecting System; Renal Collecting System Anomalies	phenotype	Finding	NA	Abnormality of the genitourinary system	NA	T033	NA	HP:0000119	NA	C1851303	NA	HP:0004742	NA	NA	NA
HBDIS016790	Aplasia/Hypoplasia of The Femur	Absent/Underdeveloped Thighbone; Hypoplastic To Absent Femora; Hypoplastic/Aplastic Femora; Absent/Small Thighbone; Aplasia/Hypoplasia of The Femur	phenotype	Finding	NA	Abnormality of the skeletal system; Abnormality of limbs	NA	T033	NA	HP:0040064; HP:0000924	NA	C1851310	NA	HP:0005613	NA	NA	NA
HBDIS016791	Limited Shoulder Movement	Limited Shoulder Movement	phenotype	Finding	NA	Abnormality of the skeletal system	NA	T033	NA	HP:0000924	NA	C1851313	NA	HP:0006467	NA	NA	NA
HBDIS016792	Iron Overload, Autosomal Dominant	Hemochromatosis Type 5; Iron Overload, Autosomal Dominant; Hemochromatosis, Type 5	disease	Disease or Syndrome	Nutritional and Metabolic Diseases	NA	genetic disease; disease of metabolism	T047	C18	NA	DOID:0014667; DOID:630	C1851316	C565020	NA	111031	NA	615517
HBDIS016793	Familial Mediterranean Fever, Autosomal Dominant	Familial Mediterranean Fever; Familial Mediterranean Fever, Autosomal Dominant	disease	Disease or Syndrome	Congenital, Hereditary, and Neonatal Diseases and Abnormalities	NA	disease of anatomical entity; genetic disease	T047	C16	NA	DOID:7; DOID:630	C1851347	C565021	NA	2987	NA	134610
HBDIS016794	Facial Hypertrichosis	Facial Hypertrichosis; Increased Facial Hair Growth	phenotype	Finding	Skin and Connective Tissue Diseases	Abnormality of the integument	NA	T033	C17	HP:0001574	NA	C1851400	C565029	HP:0002219	NA	NA	134000
HBDIS016795	Exudative Vitreoretinopathy 1	Retinopathy of Prematurity; Exudative Vitreoretinopathy 1; Exudative Vitreoretinopathy	disease	Disease or Syndrome	Eye Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities	NA	disease of anatomical entity; genetic disease	T047	C16; C11	NA	DOID:7; DOID:630	C1851402	C536382	NA	111412; 50535	NA	133780
HBDIS016796	Peripheral Retinal Avascularization	Peripheral Retinal Avascularization	phenotype	Finding	NA	Abnormality of the eye; Abnormality of the cardiovascular system	NA	T033	NA	HP:0000478; HP:0001626	NA	C1851406	NA	HP:0007685	NA	NA	NA
HBDIS016797	Exostoses, Multiple, Type Ii	Exostoses, Multiple, Type Ii; Potocki-Shaffer Syndrome; Chromosome 11P11.2 Deletion Syndrome; Hereditary Multiple Exostoses	disease	Disease or Syndrome	Musculoskeletal Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Neoplasms; Pathological Conditions, Signs and Symptoms	NA	disease of anatomical entity; genetic disease	T047	C04; C05; C16; C23	NA	DOID:7; DOID:630	C1851413	C538356	NA	206	NA	133701
HBDIS016798	Peripheral Nerve Compression	Peripheral Nerve Compression	phenotype	Finding	NA	Abnormality of the nervous system	NA	T033	NA	HP:0000707	NA	C1851414	NA	HP:0003406	NA	NA	NA
HBDIS016799	Scapular Exostoses	Scapular Exostoses; Shoulder Bone Exostoes; Scapulae Exostoses	disease	Neoplastic Process	Musculoskeletal Diseases	Abnormality of the skeletal system; Neoplasm	NA	T191	C05	HP:0000924; HP:0002664	NA	C1851415	NA	HP:0000918	NA	NA	NA
HBDIS016800	Protuberances At Ends of Long Bones	Protuberances At Ends of Long Bones	phenotype	Finding	NA	Abnormality of the skeletal system	NA	T033	NA	HP:0000924	NA	C1851418	NA	HP:0003105	NA	NA	NA
HBDIS016801	Madelung-Like Forearm Deformities	Madelung-Like Forearm Deformities	phenotype	Finding	NA	Abnormality of the skeletal system; Abnormality of limbs	NA	T033	NA	HP:0040064; HP:0000924	NA	C1851419	NA	HP:0003068	NA	NA	NA
HBDIS016802	Subcortical White Matter Calcifications	Subcortical White Matter Calcifications	phenotype	Finding	Pathological Conditions, Signs and Symptoms	Abnormality of the skeletal system; Abnormality of the nervous system	NA	T033	C23	HP:0000924; HP:0000707	NA	C1851430	NA	HP:0007346	NA	NA	NA
HBDIS016803	Cerebellar Calcifications	Cerebellar Calcifications	phenotype	Finding	NA	Abnormality of the skeletal system; Abnormality of the nervous system	NA	T033	NA	HP:0000924; HP:0000707	NA	C1851431	NA	HP:0007352	NA	NA	NA
HBDIS016804	Cerebrooculofacioskeletal Syndrome 3	Cerebrooculofacioskeletal Syndrome 3	disease	Disease or Syndrome	Nervous System Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases; Musculoskeletal Diseases	NA	NA	T047	C05; C16; C10; C18	NA	NA	C1851443	C565035	NA	NA	NA	616570
HBDIS016805	Erythrokeratodermia With Ataxia	Spinocerebellar Ataxia Type 34; Spinocerebellar Ataxia 34; Erythrokeratodermia With Ataxia	disease	Disease or Syndrome	Skin and Connective Tissue Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	NA	disease of anatomical entity; genetic disease	T047	C16; C17; C10; C23	NA	DOID:7; DOID:630	C1851481	C535738	NA	50981	NA	133190
HBDIS016806	Aortic Aneurysm, Familial Thoracic 4	Thoracic Aortic Aneurysm; Aortic Aneurysm, Familial Thoracic 4	disease	Disease or Syndrome	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities	NA	disease of anatomical entity	T047	C16; C14	NA	DOID:7	C1851504	C537784	NA	14004	NA	132900
HBDIS016807	Ancell-Spiegler Cylindromas	NA	phenotype	Pathologic Function	Skin and Connective Tissue Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Neoplasms	NA	NA	T046	C04; C16; C17	NA	NA	C1851526	NA	NA	NA	NA	NA
HBDIS016808	Epiphyseal Dysplasia, Multiple, With Myopia And Conductive Deafness	Multiple Epiphyseal Dysplasia With Myopia And Deafness; Epiphyseal Dysplasia, Multiple, With Myopia And Conductive Deafness	disease	Disease or Syndrome	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Eye Diseases; Pathological Conditions, Signs and Symptoms; Otorhinolaryngologic Diseases; Musculoskeletal Diseases	NA	genetic disease	T047	C05; C09; C11; C16; C23; C10	NA	DOID:630	C1851536	C565046	NA	111348	NA	132450
HBDIS016809	Limited Hip Movement	Limited Hip Movement	phenotype	Finding	NA	Abnormality of the skeletal system	NA	T033	NA	HP:0000924	NA	C1851542	NA	HP:0008800	NA	NA	NA
HBDIS016810	Mottled Pigmentation of The Trunk And Proximal Extremities	Mottled Pigmentation of The Trunk And Proximal Extremities	phenotype	Finding	NA	Abnormality of the integument	NA	T033	NA	HP:0001574	NA	C1851551	NA	HP:0007438	NA	NA	NA
HBDIS016811	Discrete 2 To 5-Mm Hyper- And Hypopigmented Macules	Discrete 2 To 5-Mm Hyper- And Hypopigmented Macules	phenotype	Finding	NA	Abnormality of the integument	NA	T033	NA	HP:0001574	NA	C1851552	NA	HP:0007494	NA	NA	NA
HBDIS016812	Skin Fragility With Non-Scarring Blistering	Skin Fragility With Non-Scarring Blistering	phenotype	Finding	NA	Abnormality of the integument	NA	T033	NA	HP:0001574	NA	C1851562	NA	HP:0007585	NA	NA	NA
HBDIS016813	Transient Bullous Dermolysis of The Newborn	Transient Bullous Dermolysis of The Newborn	disease	Disease or Syndrome	Skin and Connective Tissue Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities	NA	disease of anatomical entity; genetic disease	T047	C16; C17	NA	DOID:7; DOID:630	C1851573	C536979	NA	111345	NA	131705
HBDIS016814	Childhood Ependymoma	Pediatric Ependymoma; Childhood Ependymoma; Familial Ependymoma	disease	Neoplastic Process	Neoplasms	NA	disease of anatomical entity; disease of cellular proliferation	T191	C04	NA	DOID:14566; DOID:7	C1851584	C531673	NA	5509	NA	NA
HBDIS016815	Myeloproliferative Disorder, Chronic, With Eosinophilia	Myeloproliferative Disorder, Chronic, With Eosinophilia; Myeloproliferative Disorder With Eosinophilia; Malignant Eosinophil Proliferation	disease	Disease or Syndrome	Hemic and Lymphatic Diseases	Abnormality of blood and blood-forming tissues; Neoplasm	disease of anatomical entity; disease of cellular proliferation	T047	C15	HP:0001871; HP:0002664	DOID:14566; DOID:7	C1851585	C565054	HP:0006782	111344	NA	131440
HBDIS016816	Narrowing of Medullary Canal	NA	phenotype	Finding	NA	NA	NA	T033	NA	NA	NA	C1851612	NA	NA	NA	NA	NA
HBDIS016817	Pancreatic Islet Cell Adenoma	Pancreatic Islet Cell Adenoma	disease	Neoplastic Process	Digestive System Diseases; Neoplasms; Endocrine System Diseases	Neoplasm; Abnormality of the nervous system; Abnormality of the digestive system; Abnormality of the endocrine system	NA	T191	C04; C06; C19	HP:0025031; HP:0000818; HP:0000707; HP:0002664	NA	C1851697	NA	HP:0008261	NA	NA	NA
HBDIS016818	Confetti-Like Hypopigmented Macules	Confetti-Like Hypopigmented Macules	phenotype	Finding	NA	Abnormality of the integument	NA	T033	NA	HP:0001574	NA	C1851705	NA	HP:0007449	NA	NA	NA
HBDIS016819	Lateral Meningocele Syndrome	Lateral Meningocele Syndrome	disease	Disease or Syndrome	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	NA	genetic disease	T047	C16; C10; C23	NA	DOID:630	C1851710	C537878	NA	111343	NA	130720
HBDIS016820	Dural Ectasia	Dural Ectasia	phenotype	Finding	NA	Abnormality of the nervous system	NA	T033	NA	HP:0000707	NA	C1851712	NA	HP:0100775	NA	NA	NA
HBDIS016821	Sclerosis of Skull Base	Sclerosis of Skull Base; Sclerosis of The Skull Base; Marked Sclerosis of Skull Base; Hyperossification of Skull Base; Dense Bone of Skull Base; Sclerosis of Cranial Base; Sclerotic Skull Base; Hyperostosis of Skull Base	phenotype	Finding	Musculoskeletal Diseases	Abnormality of head or neck; Abnormality of the skeletal system	NA	T033	C05	HP:0000152; HP:0000924	NA	C1851714	NA	HP:0002694	NA	NA	NA
HBDIS016822	Adrenocortical Cytomegaly	Adrenocortical Cytomegaly	phenotype	Finding	NA	Abnormality of the endocrine system	NA	T033	NA	HP:0000818	NA	C1851720	NA	HP:0008186	NA	NA	NA
HBDIS016823	Overgrowth of External Genitalia	Overgrowth of External Genitalia	phenotype	Finding	NA	Abnormality of the genitourinary system	NA	T033	NA	HP:0000119	NA	C1851722	NA	HP:0003247	NA	NA	NA
HBDIS016824	Pancreatic Hyperplasia	Pancreatic Hyperplasia	phenotype	Finding	NA	Abnormality of the digestive system	NA	T033	NA	HP:0025031	NA	C1851733	NA	HP:0006277	NA	NA	NA
HBDIS016825	Poor Wound Healing	Poor Wound Healing	phenotype	Finding	NA	Abnormality of the integument	NA	T033	NA	HP:0001574	NA	C1851789	NA	HP:0001058	NA	NA	NA
HBDIS016826	Aplasia/Hypoplasia of The Earlobes	Absent/Small Ear Lobes; Absent/Underdeveloped Ear Lobes; Aplasia/Hypoplasia of The Earlobes	disease	Congenital Abnormality	NA	Abnormality of the ear	NA	T019	NA	HP:0000598	NA	C1851792	NA	HP:0009906	NA	NA	NA
HBDIS016827	Palmoplantar Cutis Gyrata	Palmoplantar Cutis Gyrata; Cutis Gyrata of Palms And Soles	phenotype	Finding	NA	Abnormality of limbs; Abnormality of the integument	NA	T033	NA	HP:0001574; HP:0040064	NA	C1851797	NA	HP:0007469	NA	NA	NA
HBDIS016828	Eds Viib	Eds Viib; Ehlers-Danlos Syndrome, Arthrochalasia Type, 2	disease	Disease or Syndrome	Cardiovascular Diseases; Skin and Connective Tissue Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Hemic and Lymphatic Diseases	NA	NA	T047	C14; C16; C17; C15	NA	NA	C1851801	C565061	NA	NA	NA	617821
HBDIS016829	Premature Delivery Because of Cervical Insufficiency Or Membrane Fragility	Premature Delivery Because of Cervical Insufficiency Or Membrane Fragility	phenotype	Finding	Female Urogenital Diseases and Pregnancy Complications	Abnormality of prenatal development or birth	NA	T033	C13	HP:0001197	NA	C1851808	NA	HP:0005267	NA	NA	NA
HBDIS016830	Hypermobility of Distal Interphalangeal Joints	Increased Mobility of Outermost Hinge Joint; Hypermobility of Distal Interphalangeal Joints	phenotype	Finding	NA	Abnormality of the skeletal system	NA	T033	NA	HP:0000924	NA	C1851811	NA	HP:0006201	NA	NA	NA
HBDIS016831	Cigarette-Paper Scars	'Cigarette Paper Scarring'; Cigarette Paper Scarring; Cigarette-Paper Scars	phenotype	Finding	NA	Abnormality of connective tissue; Abnormality of the integument	NA	T033	NA	HP:0001574; HP:0003549	NA	C1851828	NA	HP:0001073	NA	NA	NA
HBDIS016832	Premature Birth Following Premature Rupture of Fetal Membranes	Premature Birth Following Premature Rupture of Fetal Membranes	phenotype	Finding	Female Urogenital Diseases and Pregnancy Complications	Abnormality of prenatal development or birth	NA	T033	C13	HP:0001197	NA	C1851833	NA	HP:0005100	NA	NA	NA
HBDIS016833	Narrow Maxilla	Decreased Width of Upper Jaw Bones; Narrow Maxilla; Transverse Maxillary Deficiency; Transverse Hypoplasia of Maxilla; Decreased Width of Maxilla; Narrow Upper Jaw Bones; Decreased Breadth of Upper Jaw Bones; Transverse Maxillary Insufficiency; Decreased Transverse Dimension of Maxilla	disease	Anatomical Abnormality	NA	Abnormality of head or neck; Abnormality of the skeletal system	NA	T190	NA	HP:0000152; HP:0000924	NA	C1851835	NA	HP:0002010	NA	NA	NA
